Date,Note,Location,GPS,Source
"December 24, 2017 at 08:55AM",,Maerim Market (ตลาดแม่ริม),"18.91435100,98.94532337",foursquare-logged-in
"December 27, 2017 at 06:16PM",,Oh Ka Ju Organic Salad & Coffee (โอ้กะจู๋),"18.84058932,99.02469535",foursquare-logged-in
"January 01, 2018 at 01:41PM",,Bangkok Hospital Chiang Mai (โรงพยาบาลกรุงเทพเชียงใหม่),"18.78876573,99.02631387",foursquare-logged-in
"January 01, 2018 at 03:00PM",,Star Avenue Lifestyle Mall (สตาร์ เอวีนิว ไลฟ์สไตล์ มอลล์),"18.80007455,99.01869056",foursquare-logged-in
"January 01, 2018 at 08:37PM",,Le Méridien Chiang Mai,"18.78473820,98.99971420",foursquare-logged-in
"January 01, 2018 at 08:38PM",,Purple Rain,"18.78419300,98.99952800",foursquare-logged-in
"January 01, 2018 at 10:12PM",,Wild Boar Bar,"18.78468518,98.99492692",foursquare-logged-in
"January 02, 2018 at 10:23AM",,The Salad Concept,"18.79264900,98.99398000",foursquare-logged-in
"January 02, 2018 at 07:17PM",,Deck1 (เดค วัน),"18.78954160,99.00414899",foursquare-logged-in
"January 04, 2018 at 08:25AM",,บ้านงามแสงเดือน @แม่ริม,"18.90680100,98.93978200",foursquare-logged-in
"January 04, 2018 at 07:12PM",,See Paak Restaurant,"18.92158943,98.94193228",foursquare-logged-in
"January 06, 2018 at 10:58AM",,Tita Gallery,"18.91367559,98.92982020",foursquare-logged-in
"January 06, 2018 at 12:06PM",,and ann coffee,"18.91251825,98.93531226",foursquare-logged-in
"January 06, 2018 at 06:42PM",,The First Residents & Cafe',"18.91237259,98.94661713",foursquare-logged-in
"January 07, 2018 at 12:23PM",,Kamtiang Market (ตลาดคำเที่ยง),"18.80614241,98.99737261",foursquare-logged-in
"January 07, 2018 at 04:41PM",,Mae Sa Waterfall (น้ำตกแม่สา),"18.90633318,98.89609952",foursquare-logged-in
"January 09, 2018 at 01:52PM",,Local Cafe (คาเฟ่บ้านนอก),"18.80084656,98.96748731",foursquare-logged-in
"January 12, 2018 at 05:38PM",,Lamour​ Cafe​,"18.77633875,98.94899891",foursquare-logged-in
"January 13, 2018 at 10:00AM",,อนุสาวรีย์สมเด็จพระนเรศวร ทุ่งยั้งทัพ,"18.88568200,98.95599700",foursquare-logged-in
"January 13, 2018 at 01:03PM",,Café de Oasis (คาเฟ่ เดอ โอเอซิส),"18.82474308,98.95955985",foursquare-logged-in
"January 21, 2018 at 06:38PM",,ระเบียง ณ แม่ริม,"18.92283712,98.93529847",foursquare-logged-in
"January 25, 2018 at 01:21PM",,Cafe de JJ,"18.80261400,98.96408200",foursquare-logged-in
"January 25, 2018 at 07:05PM",,Ka-Fe-Vi-No,"18.80142222,98.96725277",foursquare-logged-in
"January 26, 2018 at 03:48PM",,Cube No.7,"18.79515500,98.97255200",foursquare-logged-in
"January 28, 2018 at 02:04PM",,PTT Maerim,"18.92189170,98.94061999",foursquare-logged-in
"February 01, 2018 at 04:10PM",,Café Kantary (คาเฟ่ แคนทารี่),"18.79585608,98.96561949",foursquare-logged-in
"February 02, 2018 at 08:38PM",,See Paak Restaurant,"18.92158943,98.94193228",foursquare-logged-in
"February 03, 2018 at 12:24PM",,Panyaden School Meeting Room,"18.70448300,98.91753100",foursquare-logged-in
"February 03, 2018 at 03:36PM",,Baan-Suan-Ka-Fé (บ้านสวนกาแฟ),"18.75955954,98.91387754",foursquare-logged-in
"February 04, 2018 at 06:55PM",,Let It Be,"18.91575600,98.94223500",foursquare-logged-in
"February 05, 2018 at 12:55PM",,The Salad Concept,"18.79680340,98.96629505",foursquare-logged-in
"February 07, 2018 at 12:12PM",,Local Cafe (คาเฟ่บ้านนอก),"18.80084656,98.96748731",foursquare-logged-in
"February 09, 2018 at 07:44PM",,Baan Rai Yarm Yen (บ้านไร่ยามเย็น),"18.81257795,99.00778541",foursquare-logged-in
"February 10, 2018 at 08:40AM",,Le Méridien Chiang Mai,"18.78473820,98.99971420",foursquare-logged-in
"February 10, 2018 at 07:42PM",,Thapae East (ท่าแพ อีสต์),"18.78828345,99.00078991",foursquare-logged-in
"February 11, 2018 at 03:22PM",,Pop Car Rent 1985,"18.78574711,98.99342534",foursquare-logged-in
"February 11, 2018 at 03:54PM",,Ginger & Kafé,"18.79275539,98.99317732",foursquare-logged-in
"February 12, 2018 at 08:45AM",,Road View Coffee,"19.16624979,98.69102268",foursquare-logged-in
"February 12, 2018 at 12:57PM",,Pai Nai Fun (ปายในฝัน),"19.36030301,98.44460929",foursquare-logged-in
"February 12, 2018 at 02:35PM",,Cafecito (คาเฟซิโต้),"19.35233519,98.44207828",foursquare-logged-in
"February 12, 2018 at 11:11PM",,Buffalo Bar,"19.35669158,98.44379420",foursquare-logged-in
"February 12, 2018 at 11:44PM",,Yellow Sun,"19.35770878,98.44429499",foursquare-logged-in
"February 13, 2018 at 12:25PM",,Cafecito (คาเฟซิโต้),"19.35233519,98.44207828",foursquare-logged-in
"February 13, 2018 at 07:58PM",,a taste of joy,"19.35402400,98.44328900",foursquare-logged-in
"February 14, 2018 at 08:03AM",,Breeze of Pai Guesthouse,"19.36001661,98.44377015",foursquare-logged-in
"February 14, 2018 at 08:04AM",,Family house @ Pai,"19.36050214,98.44372902",foursquare-logged-in
"February 14, 2018 at 08:24AM",,Top5cafe food&drink,"19.35892400,98.44356700",foursquare-logged-in
"February 14, 2018 at 11:14AM",,เมืองน้อย,"19.51300400,98.51590100",foursquare-logged-in
"February 14, 2018 at 03:28PM",,CMVG Misty Sunrise,"19.59973700,98.25567500",foursquare-logged-in
"February 14, 2018 at 04:11PM",,ร้านพี่คำป่าง พี่หน่อ (ถ้ำลอด ปางมะผ้า),"19.57301000,98.27736100",foursquare-logged-in
"February 14, 2018 at 04:24PM",,Pang Ma Pha Cave Lod (ถ้ำลอดปางมะผ้า),"19.56893106,98.27952672",foursquare-logged-in
"February 14, 2018 at 05:33PM",,PTT (ปตท.),"19.35527873,98.43722111",foursquare-logged-in
"February 14, 2018 at 06:32PM",,Cafe De Pai,"19.35892302,98.44365536",foursquare-logged-in
"February 15, 2018 at 01:13PM",,Khaotha Coffee (เข้าท่ากาแฟ),"19.35211048,98.44210829",foursquare-logged-in
"February 15, 2018 at 06:06PM",,Street Pizza Wood Fired Oven,"18.78789600,99.00082400",foursquare-logged-in
"February 16, 2018 at 09:47AM",,Chiangmai Ram Hospital (โรงพยาบาลเชียงใหม่ ราม),"18.79487264,98.97806740",foursquare-logged-in
"February 16, 2018 at 09:51AM",,CMR Complex,"18.79342000,98.97635300",foursquare-logged-in
"February 16, 2018 at 06:59PM",,Ka-Fe-Vi-No,"18.80142222,98.96725277",foursquare-logged-in
"February 17, 2018 at 07:30PM",,Let It Be,"18.91575600,98.94223500",foursquare-logged-in
"February 19, 2018 at 01:16PM",,Local Cafe (คาเฟ่บ้านนอก),"18.80084656,98.96748731",foursquare-logged-in
"February 21, 2018 at 03:11PM",,Tiger Ted Café (ไทเกอร์ เท็ด คาเฟ่),"18.80222606,98.96643578",foursquare-logged-in
"February 23, 2018 at 12:55PM",,The Duke's,"18.80223723,98.96662236",foursquare-logged-in
"February 25, 2018 at 05:38PM",,ห้องประชุมจิตติมา,"18.85194831,98.96003758",foursquare-logged-in
"February 25, 2018 at 05:52PM",,NARIT AstroPark,"18.85275882,98.95819187",foursquare-logged-in
"February 26, 2018 at 01:54PM",,Black Canyon (แบล็คแคนยอน),"18.80209324,98.96761895",foursquare-logged-in
"February 28, 2018 at 09:20AM",,ศูนย์สินค้าเกษตรภาคเหนือ เชียงใหม่,"18.83268908,98.96111087",foursquare-logged-in
"February 28, 2018 at 09:21AM",,สำนักงานจัดหางาน คุ้มครองคนหางานและการทำงานของคนต่างด้าว Chiang Mai Employment Office (Foreign Labor Section),"18.83306588,98.96106233",foursquare-logged-in
"March 02, 2018 at 01:54PM",,Local Cafe (คาเฟ่บ้านนอก),"18.80084656,98.96748731",foursquare-logged-in
"March 03, 2018 at 03:14PM",,ครัวคำหวาน,"18.92174700,98.94002500",foursquare-logged-in
"March 04, 2018 at 08:52AM",,fortune dental clinic,"18.76792564,98.98343732",foursquare-logged-in
"March 04, 2018 at 10:27AM",,Lamour​ Cafe​,"18.77633875,98.94899891",foursquare-logged-in
"March 06, 2018 at 02:03PM",,Black Canyon (แบล็คแคนยอน),"18.80209324,98.96761895",foursquare-logged-in
"March 10, 2018 at 01:47PM",,and ann coffee,"18.91251825,98.93531226",foursquare-logged-in
"March 10, 2018 at 07:41PM",,Let It Be,"18.91575600,98.94223500",foursquare-logged-in
"March 12, 2018 at 06:44PM",,Bangkok Hospital Chiang Mai (โรงพยาบาลกรุงเทพเชียงใหม่),"18.78876573,99.02631387",foursquare-logged-in
"March 13, 2018 at 12:59PM",,Black Canyon (แบล็คแคนยอน),"18.80209324,98.96761895",foursquare-logged-in
"March 14, 2018 at 06:02PM",,Pizzeria Giotto,"18.82407370,99.01051199",foursquare-logged-in
"March 16, 2018 at 04:32PM",,Chiang Mai International Airport (CNX) (ท่าอากาศยานเชียงใหม่),"18.76925805,98.96797035",foursquare-logged-in
"March 16, 2018 at 07:26PM",,Don Mueang International Airport (DMK) (ท่าอากาศยานดอนเมือง),"13.91759694,100.60160266",foursquare-logged-in
"March 16, 2018 at 08:37PM",,Mercure Bangkok Makkasan,"13.75115876,100.55710005",foursquare-logged-in
"March 17, 2018 at 12:40PM",,Baiyoke Sky Hotel,"13.75450669,100.54031968",foursquare-logged-in
"March 17, 2018 at 02:54PM",,Fruit Buffet,"13.75446302,100.54031253",foursquare-logged-in
"March 17, 2018 at 04:43PM",,TK park (อุทยานการเรียนรู้),"13.74684519,100.53821398",foursquare-logged-in
"March 18, 2018 at 08:46AM",,Bangkok Bus Terminal (Eastern) (สถานีขนส่งผู้โดยสารกรุงเทพ (เอกมัย)),"13.71982270,100.58410808",foursquare-logged-in
"March 18, 2018 at 10:56AM",,Laemtong Bangsaen (แหลมทองบางแสน),"13.28669386,100.92668694",foursquare-logged-in
"March 18, 2018 at 12:06PM",,Khao Sam Muk (เขาสามมุข),"13.31006868,100.90441947",foursquare-logged-in
"March 18, 2018 at 02:30PM",,Hippo cafe & restaurant,"13.30391611,100.90251556",foursquare-logged-in
"March 18, 2018 at 08:15PM",,Benito,"13.28017000,100.91775500",foursquare-logged-in
"March 19, 2018 at 08:43AM",,Cafe Coco,"13.29150369,100.90921387",foursquare-logged-in
"March 19, 2018 at 10:55AM",,Mountainview village,"13.30793096,100.92183255",foursquare-logged-in
"March 19, 2018 at 12:34PM",,The Phyll (เดอะฟิลล์),"13.70280422,100.60206571",foursquare-logged-in
"March 19, 2018 at 06:04PM",,Centara Grand at CentralWorld,"13.74773133,100.53851907",foursquare-logged-in
"March 19, 2018 at 08:34PM",,CentralWorld (เซ็นทรัลเวิลด์),"13.74663620,100.53965627",foursquare-logged-in
"March 20, 2018 at 12:23PM",,coffee world (คอฟฟี่เวิร์ล),"13.70535820,100.60026089",foursquare-logged-in
"March 20, 2018 at 03:21PM",,OOTOYA (โอโตยะ),"13.70554239,100.60125738",foursquare-logged-in
"March 20, 2018 at 08:51PM",,El Diablo's Burritos,"13.72147744,100.56494235",foursquare-logged-in
"March 21, 2018 at 12:24PM",,TOM N TOMS (ทัม แอนด์ ทัมส์),"13.70282067,100.60212438",foursquare-logged-in
"March 21, 2018 at 12:56PM",,Terminal21 (เทอร์มินอล ทเวนตี้วัน),"13.73741630,100.56038103",foursquare-logged-in
"March 21, 2018 at 01:48PM",,Starbucks (สตาร์บัคส์),"13.73770716,100.56037188",foursquare-logged-in
"March 22, 2018 at 08:17AM",,Hotel Amaze Bangkok,"13.70505500,100.59777400",foursquare-logged-in
"March 22, 2018 at 10:17AM",,ibis Styles Bangkok Sukhumvit Phra Khanong,"13.71131100,100.59695900",foursquare-logged-in
"March 22, 2018 at 12:39PM",,MBK Center (เอ็ม บี เค เซ็นเตอร์),"13.74558077,100.53018005",foursquare-logged-in
"March 22, 2018 at 01:12PM",,Suntowers,"13.80810397,100.55842669",foursquare-logged-in
"March 22, 2018 at 03:02PM",,Terminal 2 (อาคาร 2),"13.91804362,100.60135323",foursquare-logged-in
"March 24, 2018 at 12:59PM",,Let It Be,"18.91575600,98.94223500",foursquare-logged-in
"March 25, 2018 at 01:25PM",,PTT Maerim,"18.92189170,98.94061999",foursquare-logged-in
"March 25, 2018 at 06:02PM",,หยัด บาร์เบอร์,"18.91845300,98.94332900",foursquare-logged-in
"March 26, 2018 at 12:54PM",,One Nimman (วันนิมมาน),"18.80011142,98.96782665",foursquare-logged-in
"March 27, 2018 at 04:56PM",,Chiangmai Ram Hospital (โรงพยาบาลเชียงใหม่ ราม),"18.79487264,98.97806740",foursquare-logged-in
"March 31, 2018 at 10:44AM",,TUBE TREK WATER PARK CHIANGMAI,"18.76467545,99.09735179",foursquare-logged-in
"March 31, 2018 at 04:52PM",,Gusto Site (กัสโต้ ไซต์),"18.74413663,99.07708945",foursquare-logged-in
"April 01, 2018 at 06:21PM",,See Paak Restaurant,"18.92158943,98.94193228",foursquare-logged-in
"April 05, 2018 at 03:08PM",,Chiang Mai International Airport (CNX) (ท่าอากาศยานเชียงใหม่),"18.76925805,98.96797035",foursquare-logged-in
"April 05, 2018 at 05:22PM",,Terminal 2 (อาคาร 2),"13.91804362,100.60135323",foursquare-logged-in
"April 05, 2018 at 06:26PM",,Union Mall (ยูเนี่ยน มอลล์),"13.81347179,100.56177127",foursquare-logged-in
"April 06, 2018 at 09:22AM",,White Balance Bakery,"13.81816673,100.58710569",foursquare-logged-in
"April 06, 2018 at 03:15PM",,ร้านกินสบาย,"13.80278900,100.58085200",foursquare-logged-in
"April 07, 2018 at 05:06AM",,Domestic Departures,"13.91808134,100.60134621",foursquare-logged-in
"April 07, 2018 at 07:26AM",,Ranong Airport (UNN) (ท่าอากาศยานระนอง),"9.77377619,98.58733609",foursquare-logged-in
"April 07, 2018 at 08:08AM",,NAVA ANDAMAN,"9.94797600,98.59887300",foursquare-logged-in
"April 07, 2018 at 09:50AM",,Koh Payam Pier (ท่าเรือเกาะพยาม),"9.74045401,98.42319456",foursquare-logged-in
"April 07, 2018 at 10:37AM",,Lazy Hut,"9.71490077,98.39723334",foursquare-logged-in
"April 07, 2018 at 05:38PM",,Lazy Hut,"9.71490077,98.39723334",foursquare-logged-in
"April 08, 2018 at 06:47PM",,Lazy Hut,"9.71490077,98.39723334",foursquare-logged-in
"April 09, 2018 at 10:25AM",,Green Beach Hut,"9.71526800,98.39710800",foursquare-logged-in
"April 10, 2018 at 11:21AM",,Flower Power Village,"9.75957500,98.41080700",foursquare-logged-in
"April 10, 2018 at 01:00PM",,Kwang Peeb Bay Resort,"9.77023236,98.41130399",foursquare-logged-in
"April 10, 2018 at 04:05PM",,Buffalo Bay,"9.74602601,98.40513652",foursquare-logged-in
"April 12, 2018 at 09:06PM",,Green Beach Hut,"9.71526800,98.39710800",foursquare-logged-in
"April 15, 2018 at 08:55AM",,Green Beach Hut,"9.71526800,98.39710800",foursquare-logged-in
"April 15, 2018 at 07:20PM",,Lazy Hut,"9.71490077,98.39723334",foursquare-logged-in
"April 16, 2018 at 04:56PM",,Flower Power Village,"9.75957500,98.41080700",foursquare-logged-in
"April 16, 2018 at 06:35PM",,Hippy Bar,"9.76301450,98.40834145",foursquare-logged-in
"April 17, 2018 at 09:43AM",,Koh Phayam Cafe,"9.72844800,98.39593100",foursquare-logged-in
"April 17, 2018 at 11:05AM",,Sathanee Restaurant,"9.73021700,98.40027700",foursquare-logged-in
"April 17, 2018 at 12:43PM",,Kho Payam Resort,"9.72374714,98.42067394",foursquare-logged-in
"April 17, 2018 at 03:56PM",,Lamai Super Market,"9.74133000,98.42139400",foursquare-logged-in
"April 18, 2018 at 08:42PM",,Lazy Hut,"9.71490077,98.39723334",foursquare-logged-in
"April 20, 2018 at 08:24AM",,Lazy Hut,"9.71490077,98.39723334",foursquare-logged-in
"April 20, 2018 at 12:35PM",,ท่าเรือเกาะพยาม,"9.94765298,98.59882354",foursquare-logged-in
"April 21, 2018 at 06:14AM",,Ranong River Side Resort (ระนองริเวอร์ไซด์รีสอร์ท),"9.91411018,98.63261414",foursquare-logged-in
"April 21, 2018 at 06:37AM",,Departure Hall,"9.77381529,98.58726836",foursquare-logged-in
"April 21, 2018 at 06:48AM",,Ranong Airport (UNN) (ท่าอากาศยานระนอง),"9.77377619,98.58733609",foursquare-logged-in
"April 21, 2018 at 09:06AM",,Don Mueang International Airport (DMK) (ท่าอากาศยานดอนเมือง),"13.91759694,100.60160266",foursquare-logged-in
"April 21, 2018 at 12:23PM",,Chiang Mai International Airport (CNX) (ท่าอากาศยานเชียงใหม่),"18.76925805,98.96797035",foursquare-logged-in
"April 22, 2018 at 05:32PM",,Let It Be,"18.91575600,98.94223500",foursquare-logged-in
"April 23, 2018 at 01:42PM",,Local Cafe (คาเฟ่บ้านนอก),"18.80084656,98.96748731",foursquare-logged-in
"April 26, 2018 at 07:15PM",,Ginger Farm Kitchen,"18.79998891,98.96758432",foursquare-logged-in
"April 27, 2018 at 06:10PM",,The Pub,"18.80163022,98.96640353",foursquare-logged-in
"April 29, 2018 at 11:08AM",,BABY COME HOME,"18.90976700,98.91920500",foursquare-logged-in
"May 01, 2018 at 05:44PM",,ศาลาไอติม ป่าม่วง แม่ริม เชียงใหม่,"18.91156700,98.91324900",foursquare-logged-in
"May 05, 2018 at 06:17PM",,สำนักสงฆ์ปฎิบัติธรรมสันกู่,"18.89528200,98.91600000",foursquare-logged-in
"May 05, 2018 at 06:23PM",,Honey Hill,"18.89600900,98.91567300",foursquare-logged-in
"May 06, 2018 at 11:49AM",,CentralFestival Chiangmai (เซ็นทรัลเฟสติวัล เชียงใหม่),"18.80656297,99.01784901",foursquare-logged-in
"May 06, 2018 at 12:25PM",,SUBWAY (ซับเวย์),"18.82399023,99.01177262",foursquare-logged-in
"May 10, 2018 at 05:02PM",,Teak Table (ทีค เทเบิล),"18.82515729,98.95853926",foursquare-logged-in
"May 12, 2018 at 12:19PM",,เฮือนลูกหลาน,"18.91690343,98.94358738",foursquare-logged-in
"May 12, 2018 at 08:34PM",,See Paak Restaurant,"18.92158943,98.94193228",foursquare-logged-in
"May 13, 2018 at 10:45AM",,Rimtharn Nanglen (ริมธาร นั่งเล่น),"18.90801429,98.90649889",foursquare-logged-in
"May 15, 2018 at 12:23PM",,Cafe de JJ,"18.80261400,98.96408200",foursquare-logged-in
"May 18, 2018 at 06:22PM",,The Pappa Pizza & Steak Resturant,"18.26412714,99.49210853",foursquare-logged-in
"May 19, 2018 at 08:03AM",,โรงแรมมินทร์ธารา •Mintara Hotel Nan•,"18.77370500,100.77322700",foursquare-logged-in
"May 19, 2018 at 01:25PM",,Ban-Tai-Lue Café (กาแฟบ้านไทลื้อ),"19.14571865,100.94074452",foursquare-logged-in
"May 19, 2018 at 06:22PM",,เดอะวิว @ กิ่วม่วง,"18.91515200,100.88160700",foursquare-logged-in
"May 20, 2018 at 09:47AM",,Sri Mueang Park (สวนสาธารณะศรีเมือง),"18.77580808,100.77540994",foursquare-logged-in
"May 20, 2018 at 02:31PM",,Doi Pha Klong National Park (อุทยานแห่งชาติดอยผากลอง),"18.15368560,99.94600287",foursquare-logged-in
"May 20, 2018 at 04:28PM",,PTT (ปตท.),"18.31831787,99.35436061",foursquare-logged-in
"May 24, 2018 at 12:05PM",,Chiang Mai City Hall (ศาลากลางจังหวัดเชียงใหม่),"18.83703432,98.97093397",foursquare-logged-in
"May 24, 2018 at 12:40PM",,Café de Oasis (คาเฟ่ เดอ โอเอซิส),"18.82474308,98.95955985",foursquare-logged-in
"May 27, 2018 at 08:24AM",,Chiang Mai International Airport (CNX) (ท่าอากาศยานเชียงใหม่),"18.76925805,98.96797035",foursquare-logged-in
"May 27, 2018 at 01:47PM",,Bus stop South Pattaya,"12.91800058,100.89653305",foursquare-logged-in
"May 27, 2018 at 05:10PM",,The Sky Gallery,"12.92164916,100.85945524",foursquare-logged-in
"May 28, 2018 at 12:47PM",,Nual Beach (หาดนวล),"12.90062267,100.77618581",foursquare-logged-in
"May 28, 2018 at 02:44PM",,Rich Man Poor Man Guesthouse,"12.89035601,100.87501597",foursquare-logged-in
"May 28, 2018 at 07:38PM",,Terminal 2 (อาคาร 2),"13.91804362,100.60135323",foursquare-logged-in
"May 31, 2018 at 12:23PM",,Cafe de JJ,"18.80261400,98.96408200",foursquare-logged-in
"June 02, 2018 at 03:38PM",,Lamona View Swimming Pool,"18.91610200,98.94262100",foursquare-logged-in
"June 03, 2018 at 07:18PM",,Let It Be,"18.91575600,98.94223500",foursquare-logged-in
"June 06, 2018 at 01:45PM",,Local Cafe (คาเฟ่บ้านนอก),"18.80084656,98.96748731",foursquare-logged-in
"June 09, 2018 at 01:18PM",,a taste of joy,"19.35402400,98.44328900",foursquare-logged-in
"June 10, 2018 at 09:41AM",,Om Garden Cafe,"19.35723428,98.44084742",foursquare-logged-in
"June 10, 2018 at 01:53PM",,Khaotha Coffee (เข้าท่ากาแฟ),"19.35211048,98.44210829",foursquare-logged-in
"June 10, 2018 at 03:18PM",,Reverie Siam,"19.34871723,98.44245285",foursquare-logged-in
"June 11, 2018 at 12:26PM",,PTT (ปตท.),"19.35527873,98.43722111",foursquare-logged-in
"June 11, 2018 at 02:02PM",,32 Coffee Hill & Resort,"19.13266885,98.70402112",foursquare-logged-in
"June 14, 2018 at 12:59PM",,Cafe de JJ,"18.80261400,98.96408200",foursquare-logged-in
"June 18, 2018 at 08:52AM",,Promenada Resort Mall (พรอมเมนาดา รีสอร์ท มอลล์),"18.76621650,99.03722958",foursquare-logged-in
"June 20, 2018 at 01:02PM",,Cafe de JJ,"18.80261400,98.96408200",foursquare-logged-in
"June 20, 2018 at 06:53PM",,Jia Jia Sport Club,"18.82778678,99.00947725",foursquare-logged-in
"June 20, 2018 at 06:53PM",,Pizza Mania,"18.82801624,99.01193624",foursquare-logged-in
"June 23, 2018 at 12:58PM",,ระเบียง ณ แม่ริม,"18.92283712,98.93529847",foursquare-logged-in
"June 23, 2018 at 08:56PM",,Chiang Mai International Airport (CNX) (ท่าอากาศยานเชียงใหม่),"18.76925805,98.96797035",foursquare-logged-in
"June 24, 2018 at 05:06AM",,Incheon International Airport Passenger Terminal 2 (인천국제공항 제2여객터미널),"37.46743296,126.43444061",foursquare-logged-in
"June 27, 2018 at 02:41AM",,Kewaskum Public Library,"43.52207251,-88.22711628",foursquare-logged-in
"June 27, 2018 at 10:35PM",,US Post Office,"44.07494406,-89.28834329",foursquare-logged-in
"June 28, 2018 at 03:43AM",,Sunset Bay Resort,"45.85756830,-89.70620256",foursquare-logged-in
"June 28, 2018 at 11:10PM",,Wildwood Wildlife Park,"45.88473585,-89.74176131",foursquare-logged-in
"June 29, 2018 at 02:17AM",,Walmart Supercenter,"45.88967560,-89.72139611",foursquare-logged-in
"June 29, 2018 at 10:30PM",,Great Northern Coffee Traders,"45.87100748,-89.71086214",foursquare-logged-in
"June 30, 2018 at 09:54PM",,Eagle River Wisconsin,"45.91699925,-89.24541059",foursquare-logged-in
"July 01, 2018 at 12:21AM",,The Cottage,"45.28003800,-88.59753800",foursquare-logged-in
"July 03, 2018 at 09:43PM",,Kewaskum Public Library,"43.52207251,-88.22711628",foursquare-logged-in
"July 05, 2018 at 02:04AM",,Coffee Corner,"43.52107422,-88.22880464",foursquare-logged-in
"July 06, 2018 at 12:41AM",,Kohl's West Bend,"43.40266800,-88.18294525",foursquare-logged-in
"July 06, 2018 at 02:10AM",,Panera Bread,"43.40105600,-88.18173400",foursquare-logged-in
"July 06, 2018 at 05:33AM",,Walmart Supercenter,"43.39589700,-88.19613900",foursquare-logged-in
"July 07, 2018 at 01:33AM",,Humboldt Park Beer Garden,"42.99083866,-87.90128442",foursquare-logged-in
"July 07, 2018 at 04:03AM",,South Shore Park,"42.99289272,-87.88026094",foursquare-logged-in
"July 07, 2018 at 06:12AM",,Panera Bread,"43.40105600,-88.18173400",foursquare-logged-in
"July 11, 2018 at 01:39AM",,Sobelman's Pub & Grill,"43.03482910,-87.93679656",foursquare-logged-in
"July 11, 2018 at 03:28AM",,Mitchell Park Horticultural Conservatory (The Domes),"43.02637371,-87.94610529",foursquare-logged-in
"July 11, 2018 at 05:10AM",,Apple Bayshore,"43.12157110,-87.91533630",foursquare-logged-in
"July 12, 2018 at 01:08AM",,Kewaskum Public Library,"43.52207251,-88.22711628",foursquare-logged-in
"July 13, 2018 at 06:06PM",,Coach USA Airport Express,"42.95438518,-87.92905788",foursquare-logged-in
"July 13, 2018 at 08:06PM",,Terminal 5,"41.97494835,-87.89034697",foursquare-logged-in
"July 15, 2018 at 04:02PM",,and ann coffee,"18.91251825,98.93531226",foursquare-logged-in
"July 18, 2018 at 12:12PM",,Local Cafe (คาเฟ่บ้านนอก),"18.80084656,98.96748731",foursquare-logged-in
"July 19, 2018 at 12:43PM",,Black Canyon (แบล็คแคนยอน),"18.80209324,98.96761895",foursquare-logged-in
"July 19, 2018 at 05:18PM",,ฮอห์ม Hohm Café,"18.81870633,98.96935310",foursquare-logged-in
"July 20, 2018 at 06:42PM",,Kad Rin Come Night Market (กาดรินคํา),"18.80242763,98.96639394",foursquare-logged-in
"July 22, 2018 at 06:29PM",,Baan Suan (บ้านสวน),"18.85198898,98.98564689",foursquare-logged-in
"July 23, 2018 at 06:27PM",,Honey Hill,"18.89600900,98.91567300",foursquare-logged-in
"July 29, 2018 at 06:15PM",,Let It Be,"18.91575600,98.94223500",foursquare-logged-in
"July 31, 2018 at 01:55PM",,Cafe de JJ,"18.80261400,98.96408200",foursquare-logged-in
"August 04, 2018 at 11:13AM",,Tita Gallery,"18.91367559,98.92982020",foursquare-logged-in
"August 05, 2018 at 03:07PM",,Coffee In Wild,"19.22521500,98.81498400",foursquare-logged-in
"August 08, 2018 at 01:37PM",,Cafe de JJ,"18.80261400,98.96408200",foursquare-logged-in
"August 10, 2018 at 07:07PM",,Ka-Fe-Vi-No,"18.80142222,98.96725277",foursquare-logged-in
"August 11, 2018 at 12:51PM",,ส้มตำเดอนัว,"18.84387600,99.01368000",foursquare-logged-in
"August 11, 2018 at 03:45PM",,บ้านงามแสงเดือน @แม่ริม,"18.90680100,98.93978200",foursquare-logged-in
"August 16, 2018 at 01:06PM",,Cafe de JJ,"18.80261400,98.96408200",foursquare-logged-in
"August 22, 2018 at 01:38PM",,Kua-Kai Nimman (คั่วไก่นิมมาน),"18.79433091,98.96925168",foursquare-logged-in
"August 27, 2018 at 07:14PM",,Gourmet House (กูร์เมต์เฮ้าส์),"18.78875363,99.02632205",foursquare-logged-in
"August 27, 2018 at 07:15PM",,Bangkok Hospital Chiang Mai (โรงพยาบาลกรุงเทพเชียงใหม่),"18.78876573,99.02631387",foursquare-logged-in
"August 30, 2018 at 01:03PM",,Local Cafe (คาเฟ่บ้านนอก),"18.80084656,98.96748731",foursquare-logged-in
"August 30, 2018 at 07:18PM",,Boat (โบ๊ต),"18.80719987,98.95697804",foursquare-logged-in
"September 03, 2018 at 05:22PM",,Teak Table (ทีค เทเบิล),"18.82515729,98.95853926",foursquare-logged-in
"September 06, 2018 at 01:36PM",,The Salad Concept,"18.79680340,98.96629505",foursquare-logged-in
"September 08, 2018 at 06:53PM",,Tsubaki JP'Restaurant,"18.89192197,99.00765453",foursquare-logged-in
"September 09, 2018 at 03:03PM",,Gusto Site (กัสโต้ ไซต์),"18.74413663,99.07708945",foursquare-logged-in
"September 09, 2018 at 07:15PM",,Let It Be,"18.91575600,98.94223500",foursquare-logged-in
"September 09, 2018 at 07:15PM",,Lamona View Swimming Pool,"18.91610200,98.94262100",foursquare-logged-in
"September 12, 2018 at 01:59PM",,One Street Food Market,"18.79993553,98.96878734",foursquare-logged-in
